courier_id,current_x,current_y
0,6.3517,5.2947
1,3.7368,10.2009
2,6.0423,5.9718
3,5.8179,5.9274
4,5.6554,5.6721
5,4.6419,10.2231
6,8.0538,6.0162
7,5.346,9.6015
9,5.3924,7.9587
10,7.3962,5.3613
11,5.6941,5.7165
13,5.5781,4.5288
14,8.6804,5.0727
15,8.1853,8.6025
16,12.8969,7.0152
17,6.5529,9.1575
18,8.665,4.9395
19,4.1778,8.0364
20,6.3749,5.2725
22,5.7173,4.9173
24,3.9921,7.0596
25,7.4194,5.4723
26,4.3325,7.9698
28,6.8237,8.6469
29,7.8139,5.0616
32,12.8969,6.6822
33,7.4658,8.4471
34,12.9201,7.2039
35,4.8586,8.2362
36,7.3111,7.3038
37,5.1216,7.2039
38,4.874,7.992
39,8.8042,6.3381
40,11.8137,7.3038
41,5.021,7.3371
42,7.9377,5.7165
43,12.8969,7.104
45,7.0171,5.0505
46,7.0325,5.1615
47,3.4273,6.5712
48,9.1059,6.3381
50,9.4309,4.3512
51,6.4136,8.4804
52,4.8431,8.4693
53,7.2105,6.0273
54,7.3962,8.4471
55,10.9859,2.6196
56,7.52,5.1393
57,4.3402,5.9163
58,5.0675,8.6358
59,4.0849,6.3936
60,4.2396,5.8053
61,6.4059,0.3996
62,5.787,9.0465
63,4.6265,11.7105
64,7.0248,5.1393
66,7.93,8.0364
67,7.0944,5.994
68,7.4658,5.7165
69,5.9804,7.9143
70,6.3904,5.439
73,8.781,6.327
74,7.0867,7.5591
75,6.7308,10.434
76,8.3555,3.6408
77,3.8141,5.2614
78,5.5703,4.773
79,5.3692,8.1474
80,7.5354,2.6973
81,5.3924,8.0586
82,7.6437,5.0949
83,3.4582,8.5137
84,7.8217,7.8921
85,5.934,7.1151
86,5.7173,9.102
87,7.9145,5.3724
88,5.7096,5.7387
89,6.5142,3.6075
90,5.6477,5.7165
91,4.5182,4.995
92,5.168,11.8992
93,5.3924,7.9476
94,7.4426,5.6832
95,5.6864,8.9466
96,5.021,7.2927
97,6.7772,5.5278
98,7.5896,3.2745
99,4.905,6.0606
100,7.1795,5.9385
101,7.1641,6.7821
102,5.4388,4.0959
103,5.7173,9.102
104,7.6669,5.5833
105,7.8449,7.9254
106,3.5356,0.1665
107,5.1293,7.5147
108,7.4194,7.0929
109,3.5201,10.989
110,5.0752,8.1363
111,6.1042,8.2806
112,7.0325,5.1504
114,3.4892,11.7327
115,6.491,9.5016
116,9.6475,6.8487
117,5.5007,7.8477
118,7.0635,5.1837
119,4.7503,6.3492
121,7.4735,9.3018
122,7.5045,5.5611
123,4.0849,6.9819
124,7.6283,6.327
125,6.9397,6.3936
126,10.0575,3.7629
130,4.7889,5.2281
134,8.5799,4.5843
135,6.5374,8.5803
136,7.6437,5.5944
137,7.7366,4.8618
138,6.5761,5.3724
139,3.7754,10.212
140,3.8141,6.9597
141,4.9205,8.4582
142,7.0093,5.0505
143,7.9068,4.8063
144,8.3478,8.9799
145,11.837,7.1484
146,4.8973,7.0374
148,3.8141,5.3169
149,3.7136,10.212
150,3.2184,10.0566
151,7.5277,5.8275
152,6.932,6.66
153,6.7618,4.884
154,4.2242,8.1585
156,3.7058,8.4804
157,5.6941,9.102
158,6.8933,4.4844
159,6.7618,4.8729
160,4.2396,5.9496
161,4.9359,7.0041
