courier_id,current_x,current_y
49,2.5325,1.776
65,1.6032,1.2099
127,1.487,0.8991
147,1.8278,1.554
155,2.1066,1.3764
169,1.3244,1.1988
193,2.0756,1.6095
270,1.4483,1.6317
271,1.5257,1.5984
311,1.8742,1.0767
350,1.82,1.0545
353,1.6109,1.0767
361,1.5799,1.2099
435,2.7804,1.7316
446,1.5644,1.5651
458,1.82,1.0545
499,2.1918,1.9536
514,1.5644,1.4652
518,1.456,1.6539
531,1.5954,1.1988
622,1.3011,2.7861
628,2.4318,1.9536
652,1.5722,1.1988
659,1.9672,1.4208
667,1.9749,1.3986
685,1.5877,1.5984
687,2.0601,1.5984
740,1.5954,1.0212
743,1.6109,1.5984
893,1.2314,0.9879
899,1.8587,0.8769
980,1.5954,1.2099
1029,1.5954,1.6095
1041,1.5799,1.0323
1183,1.3631,1.5762
1260,1.851,1.0767
1288,1.5954,1.1988
1338,1.7116,0.9768
1435,1.6264,1.3653
1523,0.9216,2.6751
1548,1.6032,1.1988
1551,1.82,2.0979
1564,1.8278,0.8769
1573,2.3699,1.6095
1606,0.7667,1.4208
1687,1.5799,1.3431
1759,1.851,1.0878
1786,1.9594,1.3431
1792,1.5722,1.0989
1804,1.6032,1.221
1841,1.8432,1.0767
1847,2.0911,1.3542
1927,1.5954,1.2099
1961,2.517,1.9203
2003,1.8665,0.9657
2098,1.5954,1.11
2156,1.9749,1.3875
2185,1.2469,1.9536
2264,1.5722,1.11
2274,1.6341,1.3542
2334,1.5722,1.2987
2341,1.9749,1.4097
2352,1.6032,1.6095
2478,1.5877,1.2099
2487,0.7822,1.3875
2570,1.1307,1.0656
2579,1.4638,2.2866
2601,1.6109,1.221
2650,1.9672,1.3986
2741,1.9439,1.0767
2826,1.5877,1.5984
2831,1.5954,1.2099
2833,1.851,0.9768
2882,2.0136,1.9536
2999,1.8432,1.2654
3002,1.5954,1.7427
3006,1.061,1.2654
3105,1.6032,1.5651
3147,1.5877,1.2987
3204,2.3776,1.3542
3205,1.5877,1.3875
3272,2.0369,2.4309
3377,0.7977,1.4097
3453,1.7193,0.8658
3457,1.5722,1.0323
3490,1.5799,1.4874
3851,1.5954,1.2099
4184,2.974,1.4985
4237,1.7968,1.0767
4603,2.0369,1.2654
