order_id,pickup_x,pickup_y,delivery_x,delivery_y,create_time,delivery_patience,value
241817,1.1020930446459642,1.8425999999996492,0.9864888791241352,3.89609999999999,3690,2221,5.12
264774,2.1964791449235146,2.7416999999995255,1.71864859409937,2.8305000000001073,3742,2106,1.97
435551,1.2408180432730354,2.0423999999999722,2.5972402520678997,2.3532000000000366,3777,2140,3.79
230135,1.2099902657993793,2.908199999999532,1.8419597039896132,3.9404999999998864,3860,2121,3.42
206614,1.2022833214309654,2.5640999999999394,1.2254041545362073,3.8183999999997766,3940,2113,3.51
329384,1.7109416497309562,2.3864999999995646,2.443101364706191,2.552999999999571,3968,2103,2.5
113593,0.8940055467053576,2.2644000000002436,1.1329208221174298,2.108999999999817,4068,2103,1.57
180154,1.3410083200580365,2.808300000000159,1.3487152644264504,2.0090999999996555,4081,2101,2.6
351531,0.35451944093390125,2.8305000000001073,0.709038881869993,3.5297999999996605,4093,2286,2.57
76481,2.6049471964363136,2.7305999999999457,2.173358311820463,0.643800000000077,4098,2108,5.27
482994,1.4951472074219354,3.1413000000001716,2.9517596930039915,1.7204999999995394,4132,2413,5.08
304375,0.7321597149730446,2.4975000000000946,1.1406277664858437,1.9980000000000757,4272,2109,2.29
67083,1.7340624828340077,3.829500000000145,2.1117027568753413,1.820399999999701,4296,2113,5.1
519349,1.2176972101677934,2.2199999999995583,0.3236916634624357,1.7537999999998561,4343,2113,3.02
256151,1.2639388763760868,2.630699999999784,0.832349991760236,2.874900000000004,4346,2109,1.99
76482,1.2176972101677934,2.2199999999995583,2.30437636607912,1.8315000000000694,4402,2109,3.31
125596,1.6801138722573001,2.8859999999995836,2.8207416387453343,2.519700000000043,4416,2102,3.4
558355,0.7321597149730446,2.4975000000000946,0.3236916634624357,1.7537999999998561,4424,2113,2.7
221474,1.7109416497309562,2.3864999999995646,1.556802762367057,2.7416999999995255,4492,2102,1.78
321189,1.2176972101677934,2.2199999999995583,1.6569930391520582,2.9748000000001653,4603,2104,2.75
44960,1.6801138722573001,2.8859999999995836,2.728258306326557,2.6418000000001527,4623,2119,3.16
351533,1.7109416497309562,2.3864999999995646,2.3506180322874135,2.664000000000101,4783,2113,2.4
490783,1.3410083200580365,2.808300000000159,0.3236916634624357,1.7537999999998561,4949,2103,3.94
540381,1.7340624828340077,3.829500000000145,2.312083310447534,2.686200000000049,5052,2101,3.57
165131,0.8862986023369436,2.2421999999995066,2.312083310447534,2.686200000000049,5292,2101,3.99
256155,2.1810652561866863,2.7305999999999457,0.7706944368151145,3.89609999999999,5295,2103,4.66
128647,1.8496666483580273,0.9878999999996694,0.4547097177210928,3.107999999999855,5449,2401,6.08
253305,2.1810652561866863,2.7305999999999457,1.6184583173121785,3.1413000000001716,5471,2112,2.4
82863,1.2022833214309654,2.5640999999999394,0.7706944368151145,3.9071999999995697,5494,2117,3.83
128648,1.7109416497309562,2.3864999999995646,0.6011416607143875,2.8527000000000555,5555,2109,3.41
137802,0.35451944093390125,2.8305000000001073,1.6415791504174206,1.6538999999996946,5589,3069,4.49
446196,1.3410083200580365,2.808300000000159,0.824643047391822,2.8527000000000555,5654,2101,2.04
555761,1.6801138722573001,2.8859999999995836,0.7861083255519425,2.1311999999997653,5743,2121,3.34
443603,1.7340624828340077,3.829500000000145,2.473929142177657,2.552999999999571,5759,2107,3.96
475257,2.6280680295415557,2.464199999999778,2.250427755500222,2.6418000000001527,5944,2112,1.84
162084,1.7417694272024218,1.8315000000000694,1.0943861002775503,2.1533999999997135,6058,2108,2.45
137803,1.2022833214309654,2.5640999999999394,0.716745826238407,3.0635999999999584,6240,2109,2.4
